RunGroupID,Model,Initialization,GS_Level,GS_Percentage,Top1_Mean,Top1_Std,Top1_CI_Lower,Top1_CI_Upper,Top5_Mean,Top5_Std,F1_Mean,F1_Std,TrueProbTop5_Mean,TrueProbTop5_Median,Top1_GSTrain_RawTest,Top5_GSTrain_RawTest,F1_GSTrain_RawTest,TrueProb_GSTrain_RawTest_Mean,TrueProb_GSTrain_RawTest_Median,AccuracyDrop_pp,AccuracyDrop_relative,pvalue_vs_raw_paired,N_Repeats,PerRun_Top1
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,gs30,30.0,11.537962362102531,1.056529788437369,10.611873170640356,12.464051553564707,24.80856586632057,1.2769239585981924,0.08526129738895696,0.008652396580291901,0.02379801638955027,0.0,0.0973393900064893,0.3893575600259572,6.134449993082417e-05,0.0008410240591810092,0.0,8.929266709928621,43.627140118189786,0.00010012080718281315,5,"[12.264763140817651, 12.91369240752758, 10.512654120700844, 11.45360155743024, 10.54510058403634]"
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,gs20,20.0,13.783257624918884,0.9759322300772512,12.92781530822769,14.638699941610078,27.235561323815705,1.4190645375906712,0.10689627559464857,0.008905062895805723,0.03084102577344308,0.0,0.06489292667099286,0.6164828033744322,2.9153010303402663e-06,0.0008227106481113656,0.0,6.683971447112269,32.65694354777289,0.00028252173924247484,5,"[13.043478260869565, 14.503569110966904, 12.91369240752758, 13.335496430889032, 15.120051914341337]"
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,gs10,10.0,15.632706035042181,2.267007249882945,13.64558656708272,17.619825503001643,30.051914341336794,2.7473744659372508,0.12515827792423537,0.022733394779451497,0.04288299177192505,0.0,0.03244646333549643,0.5515898767034394,0.0001437607820586544,0.00048354591287087497,0.0,4.834523036988971,23.620798973874564,0.0073990424446147,5,"[15.18494484101233, 13.692407527579494, 19.500324464633355, 14.37378325762492, 15.412070084360805]"
NIH_CXR__resnet18_Scratch__NR5__E30__LR0.0005__B64,resnet18,Scratch,gs0,0.0,18.82543802725503,1.6042799355148079,17.419224662880993,20.231651391629065,34.86048020765737,2.4486441084763118,0.15638497021475745,0.015264137181706714,0.05611500606227286,0.0,4.18559377027904,12.070084360804673,0.03005815982338679,0.01278119604783175,0.0,1.6417910447761237,8.021559919986949,0.0728871714312905,5,"[18.851395197923427, 17.09928617780662, 17.423750811161582, 20.8955223880597, 19.857235561323815]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,raw,0.0,72.42050616482803,1.2833796522755452,71.29557430060419,73.54543802905187,83.94548994159636,1.3502173805093136,0.6858580630921056,0.015149048752480042,0.19894041723800165,0.08492214977741241,,,,,,,,,5,"[74.30240103828683, 72.35561323815705, 70.99286177806619, 71.54445165476963, 72.90720311486048]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,gs50,50.0,15.405580791693705,1.1020817530773315,14.439563542769628,16.37159804061778,30.019467878001297,1.3502173805093143,0.12806315848869038,0.010948846657324145,0.03792208553316636,0.0,0.06489292667099286,0.42180402336145356,7.458406332485313e-07,0.0006481099713863357,0.0,57.01492537313432,78.72759855543735,2.089223719541558e-07,5,"[15.704088254380272, 16.64503569110967, 16.158338741077223, 14.406229720960415, 14.114211550940947]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,gs40,40.0,20.343932511356265,1.0079315098643136,19.460441589249786,21.227423433462743,36.56067488643738,1.3556643376555932,0.16978641191407148,0.007490109325114167,0.045312138046981074,0.0,0.12978585334198572,0.45425048669695006,7.508141961631446e-05,0.0008116261296259513,0.0,52.07657365347176,71.90860214060832,1.507956195200592e-07,5,"[21.219987021414667, 20.181700194678783, 19.662556781310837, 21.512005191434135, 19.143413367942895]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,gs30,30.0,25.230369889682024,0.839730518679149,24.494313636843312,25.966426142520735,42.04412719013628,0.9120861862522396,0.21306338348891538,0.00836161256061965,0.04728082158996517,0.0,0.6489292667099287,1.7521090201168072,0.0023471312640972373,0.0013500098740388286,0.0,47.190136275146,65.16129031358302,3.7719248767206704e-08,5,"[25.53536664503569, 25.08111615833874, 24.36729396495782, 24.659312134977288, 26.508760545100586]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,gs20,20.0,31.083711875405584,0.6798289045995123,30.48781556705412,31.679608183757047,47.709279688513945,0.9602179848843638,0.2703029888136271,0.006833131432452815,0.0514959517204294,0.0,0.16223231667748217,0.8760545100584036,1.395213887414552e-05,0.0012040285551938664,0.0,41.33679428942244,57.0788530387134,7.462987802880999e-07,5,"[30.66190785204413, 30.791693705386113, 30.953926022063595, 32.28423101881895, 30.72680077871512]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,gs10,10.0,39.85723556132381,0.8350158960335949,39.1253118574408,40.589159265206824,56.3595068137573,0.8114859831537858,0.3540170691234521,0.00760347929741465,0.07229025565990713,0.01491045206785202,1.589876703439325,4.380272550292018,0.00944436774462242,0.0036357304058354987,0.0,32.563270603504215,44.96415769988443,4.80700963306747e-07,5,"[40.038935756002594, 39.42245295262816, 38.64373783257625, 40.68786502271252, 40.493186242699544]"
NIH_CXR__densenet121_Pretrained__NR5__E30__LR0.0005__B64,densenet121,Pretrained,gs0,0.0,63.634003893575596,0.8412336174691993,62.89663011655688,64.37137767059431,77.63789746917587,0.8349528545555714,0.5921112712602075,0.00830470008913891,0.1529561577716239,0.050298502668738365,33.225178455548345,50.71382219338092,0.2952320228818608,0.03541775158029908,0.007291602436453104,8.78650227125243,12.132616485779895,0.0002599935340529333,5,"[63.75730045425049, 63.14081765087606, 63.108371187540556, 65.05515898767035, 63.108371187540556]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,raw,0.0,17.767683322517847,0.4062939868266983,17.41155094094744,18.123815704088255,33.945489941596364,0.49548628601741856,0.13949387874919789,0.002985083543018616,0.04435708628922681,0.0,,,,,,,,,5,"[18.07268007787151, 17.878001297858535, 17.293964957819597, 17.391304347826086, 18.2024659312135]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,gs50,50.0,5.314730694354315,0.3535026917576861,5.004871923146574,5.624589465562057,14.600908500973395,1.0263037413325573,0.032512803161311166,0.002458032644820444,0.00639355511723073,0.0,0.03244646333549643,0.2920181700194679,4.7115373063057565e-07,0.0003249418657662264,0.0,12.452952628163532,70.08765518334366,2.8157359522784676e-06,5,"[4.964308890330954, 5.061648280337443, 5.54834523036989, 5.807916937053862, 5.191434133679429]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,gs40,40.0,6.502271252433485,0.36464397396719783,6.182646716789969,6.8218957880770015,16.320571057754705,1.2231068672920684,0.04145515500497271,0.0034395095405695005,0.00819570828285999,0.0,0.1946787800129786,0.45425048669695006,0.00030528099211544476,0.00040807828638342433,0.0,11.265412070084363,63.403944449340585,3.4574003254369533e-06,5,"[6.229720960415315, 6.327060350421804, 7.1382219338092145, 6.3595068137573, 6.45684620376379]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,gs30,30.0,8.234912394548994,0.8722608754271194,7.470342026814136,8.999482762283852,19.513303049967554,0.9560976838812131,0.055592130321067815,0.006493566310342373,0.011461450016104279,0.0,0.06489292667099286,0.45425048669695006,0.0003840013774611009,0.00047139541078588545,0.0,9.532770927968853,53.65230091940168,5.116420843106732e-05,5,"[7.008436080467229, 8.922777417261518, 9.214795587280987, 8.079169370538612, 7.949383517196626]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,gs20,20.0,9.759896171317326,0.5044355558311489,9.31773891161964,10.202053431015011,21.17456197274497,1.1137694581228894,0.0689659993665,0.004035303139292924,0.015511931174499389,0.0,0.16223231667748217,0.9409474367293965,0.0007796102915001539,0.0006859362678992756,0.0,8.007787151200521,45.069393692676435,3.515680759813397e-05,5,"[9.73393900064893, 9.312134977287476, 10.253082414016871, 10.28552887735237, 9.214795587280987]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,gs10,10.0,11.8170019467878,0.7303698176108014,11.176804574918185,12.457199318657414,25.64568462037638,1.0075658725310541,0.08827341401809488,0.006338640667779292,0.025198515362452562,0.0,0.32446463335496434,1.1356262167423752,0.001024715069483159,0.00154590437709705,0.0,5.950681375730047,33.491599688966204,7.478263178312532e-05,5,"[13.01103179753407, 11.161583387410772, 11.972744970798182, 11.550940947436729, 11.388708630759247]"
NIH_CXR__densenet121_Scratch__NR5__E30__LR0.0005__B64,densenet121,Scratch,gs0,0.0,16.229720960415314,0.35498862807547915,15.918559708597778,16.540882212232848,32.057105775470475,0.488316578302802,0.12697349356923826,0.0029231792827029758,0.040969233548705034,0.0,1.9467878001297858,6.099935107073328,0.009286458035102392,0.00574009322381828,0.0,1.5379623621025331,8.655953245676116,0.00023180384121270403,5,"[16.709928617780662, 16.320571057754705, 16.09344581440623, 15.73653471771577, 16.28812459441921]"
