arch,init,train_cond,eval_cond,attacker_type,eval_split,best_epoch,best_val_auc,macro_auc,bal_acc,top1_acc,male_macro_auc,female_macro_auc,male_n,female_n,male_bal_acc,female_bal_acc,auc_NoFind,auc_Infilt,auc_Atelec,auc_Effus,auc_Nodule,auc_PneuTx,auc_Mass,auc_Consol,auc_PlThck,auc_CardMeg,auc_Emphy,male_auc_NoFind,male_auc_Infilt,male_auc_Atelec,male_auc_Effus,male_auc_Nodule,male_auc_PneuTx,male_auc_Mass,male_auc_Consol,male_auc_PlThck,male_auc_CardMeg,male_auc_Emphy,female_auc_NoFind,female_auc_Infilt,female_auc_Atelec,female_auc_Effus,female_auc_Nodule,female_auc_PneuTx,female_auc_Mass,female_auc_Consol,female_auc_PlThck,female_auc_CardMeg,female_auc_Emphy
resnet18,pretrained,gs40,gs40,adaptive,val,94,0.652655312877859,0.652655312877859,0.21724351648714701,0.20950965824665677,0.6588801300144144,0.6401872959615182,758,588,0.21738256012234566,0.20797922506687155,0.6354485082763406,0.6224892835272504,0.6950497206925241,0.7233230361871138,0.5791709767991724,0.7000438212094654,0.6111840074096944,0.5899949341438704,0.6127737644765507,0.7568909433316213,0.6528394456028456,0.6420447968514875,0.6603925353925353,0.6904854046881911,0.7087606993040907,0.6129568106312291,0.70218945487042,0.636825117370892,0.6213963963963964,0.571547125074096,0.7388083228247162,0.6622747667545046,0.6635609467667664,0.5760980046006526,0.7087436868686868,0.7526928834848651,0.5020833333333333,0.6228195937873356,0.5939159057124656,0.5509259259259259,0.7002127462769401,0.7584493584493585,0.6125578703703703
resnet18,pretrained,gs40,gs40,adaptive,test,94,0.652655312877859,0.6402751732400526,0.1696563189898369,0.18266024453501298,0.6412375868810442,0.634387792891966,1434,1265,0.16048276479040113,0.1661843156850472,0.6142308671720437,0.6127859745912841,0.6954099567716499,0.7342642886674365,0.6241872373315299,0.6133667883211679,0.551201405036806,0.6563685958254271,0.5429551604174719,0.725105629964929,0.6731510015408321,0.6407992150566408,0.6259717334227138,0.6952394135492727,0.7517968058124334,0.614456833738132,0.5781027104136948,0.5238577212261423,0.6901367890568756,0.555981396951167,0.7503339641545141,0.6269368723098996,0.6128564061616263,0.6000982658959537,0.6984593479610091,0.7401974248927039,0.6310683311232034,0.5727909034138219,0.5648041739450216,0.6027709723747571,0.5466458193730921,0.6956400562260676,0.7129340204443693
resnet18,pretrained,gs40,raw,blind,test,,,0.533487605319253,0.09721362591018122,0.16376435716932197,0.5313522227704571,0.5308761357784045,1434,1265,0.10023110505735343,0.09602593839502736,0.576610644257703,0.4854054891937036,0.5342608427153104,0.5692674251172605,0.506439302449157,0.5458685491100013,0.5730610178452219,0.5261385199240987,0.4745844607653653,0.5810481570055588,0.4956792501284027,0.5951372164243451,0.5249918998938607,0.5144132608921342,0.5830506840814752,0.49009163170677855,0.4926890156918688,0.6024002313475998,0.5952163826893848,0.46149125828955295,0.5268562840921741,0.4585365853658537,0.5646438433642745,0.4361806358381503,0.5884779672155087,0.5591759656652361,0.5269559650647034,0.556073064113239,0.5156522938310196,0.42958519895243724,0.49880872608145344,0.611410014056517,0.5526738193799106
densenet121,pretrained,gs40,gs40,adaptive,val,96,0.6899293877509035,0.6899293877509035,0.23630057526066806,0.22734026745913818,0.6983975959215599,0.6711265554733834,758,588,0.23369072592859794,0.23036932097320484,0.6682446228565765,0.6622525005103083,0.7039984548948139,0.7602971462194762,0.5885547509974878,0.748721881390593,0.6830811979005866,0.6579280648429585,0.6206427015250544,0.8803418803418803,0.6151600637802036,0.6651666859590231,0.6904359716859718,0.687873175586024,0.7487936761960184,0.6239098837209303,0.7534629133154602,0.6904929577464789,0.7003003003003003,0.6351709148389646,0.876839007986549,0.6099280678014386,0.6840228628764937,0.6222650189910662,0.7227588383838384,0.7740168693175594,0.5190972222222222,0.6872759856630825,0.680293055850499,0.591869212962963,0.6067893811858293,0.8701610701610701,0.6238425925925926
densenet121,pretrained,gs40,gs40,adaptive,test,96,0.6899293877509035,0.6893037912239858,0.2080654757834404,0.21711745090774362,0.6867244209417122,0.6839473159591226,1434,1265,0.19409925828724547,0.20864117197812765,0.6398155765802824,0.6497165561573114,0.7348475131822716,0.7764620133156552,0.6440453762298118,0.6821015815085159,0.6250711255079594,0.6565879981024668,0.6474612071345739,0.8085452878456617,0.7176874678993322,0.6487043974667737,0.657185632087593,0.7311101113918016,0.7594298417365006,0.6422637447560167,0.646799215406562,0.6040413533834585,0.7062155027597792,0.628089742485574,0.8394189023711455,0.6907101865136298,0.6388403699637356,0.6418554913294797,0.7377423241210617,0.8093218884120171,0.6414864267532427,0.6660205037468777,0.6377103061505929,0.552124693756864,0.6819484774030229,0.7743323154476274,0.7420376784658274
densenet121,pretrained,gs40,raw,blind,test,,,0.5486883203878329,0.09058747855917668,0.3130789181178214,0.5504046231919353,0.5341848849142066,1434,1265,0.0907088506207449,0.0904476234425473,0.5370815459050753,0.4807840259148656,0.4971462163317657,0.5615350070570121,0.5507769350917024,0.5850340952746831,0.509892606083415,0.6541864326375711,0.5569916892153073,0.4806740442010913,0.6214689265536724,0.5667462016471918,0.46115412546785095,0.47731598435823785,0.5847676653272205,0.5457496136012365,0.5751827746077033,0.511524002313476,0.6593872490200784,0.5987425716992507,0.47493877323833905,0.598941893830703,0.5029901520444489,0.5030780346820809,0.5092670341839777,0.5372875536480687,0.5564116633895774,0.5813384679433806,0.4960696883331801,0.6188645771732704,0.48456928002382543,0.4653918859968009,0.6207653966376615
resnet18,scratch,gs40,gs40,adaptive,val,30,0.7139825461067629,0.7139825461067629,0.22321469498928279,0.29271916790490343,0.7231329017621289,0.696882134756423,758,588,0.23088128418086126,0.21358140286198626,0.6777520071364853,0.6673938558889568,0.7304732379858166,0.7582230067666961,0.6368590217230679,0.7271216768916156,0.7538109756097561,0.6425278622087133,0.6801685586515308,0.9152805762975255,0.6641972280142279,0.6596973029285798,0.6904681467181466,0.7260476559044671,0.7360878737179022,0.6588455149501661,0.7988159070598748,0.7466842723004695,0.7093093093093092,0.6944477376012645,0.9078919714165616,0.6261662274766755,0.6861192238089266,0.636909538329856,0.722885101010101,0.7861394092087487,0.5991512345679012,0.6425925925925926,0.7610426842217032,0.5370370370370371,0.6629358986217742,0.9166257166257166,0.7142650462962963
resnet18,scratch,gs40,gs40,adaptive,test,30,0.7139825461067629,0.714131911900854,0.21872565123749485,0.29640607632456467,0.7159965303966058,0.704684387486772,1434,1265,0.21570221647952803,0.21024253893227704,0.6749064660829367,0.6654875487169105,0.7451938150206641,0.7849339919877962,0.639862808559973,0.7193822832629019,0.7146310210262683,0.6685009487666034,0.6150947042906842,0.8623380287108336,0.7651194144838214,0.6957006511461956,0.6755846042120551,0.7500932430509897,0.7732440101452506,0.6491278427909031,0.6980875534950072,0.7047787738577211,0.6825853931685465,0.6159137886486952,0.8967355003896249,0.7341104734576758,0.6531506803739561,0.6539132947976879,0.7317367018363696,0.8032103004291845,0.6283399637233832,0.7048293089092422,0.7263491771628205,0.5946608093266876,0.621323803141985,0.8247297755804373,0.8092844470727381
resnet18,scratch,gs40,raw,blind,test,,,0.5581170476229609,0.09013741610071885,0.21341237495368656,0.5608096560399719,0.5494449579510069,1434,1265,0.09060664263709949,0.09049829627079203,0.5329709506180095,0.48800741509338463,0.5782866609662249,0.6036347176482328,0.5526979372977152,0.5972635740811885,0.49542556575581215,0.5164314516129032,0.6262493787619416,0.5679269598445844,0.5803929121725733,0.5636911664139387,0.48647338137534213,0.5761420831843367,0.6039496593147738,0.5452969750496798,0.613944365192582,0.5232359745517641,0.5435085193184545,0.604426836620446,0.5697150172548147,0.5385222381635582,0.5079058122899823,0.48947687861271677,0.577263821449868,0.6146180257510729,0.5597344795524868,0.5957145087427145,0.4545830651834145,0.47512038523274475,0.6218077581713947,0.5530512335805341,0.5946185688941454
densenet121,scratch,gs40,gs40,adaptive,val,48,0.7272102122741081,0.7272102122741081,0.27033071475386306,0.2890044576523031,0.7310918254991123,0.7155305586246287,758,588,0.26947540860682156,0.25559911525961837,0.687576568539994,0.6740253112880179,0.7336723980824849,0.7621138570167695,0.6618639475887886,0.7589833479404031,0.7424648811361532,0.6534954407294833,0.7370857699805069,0.9155176273820342,0.6725131853305533,0.6715910406297025,0.6991875804375804,0.7052465723131358,0.7384156543245799,0.6819109911406422,0.806076854334227,0.73125,0.6855855855855856,0.7333333333333334,0.9240752416981926,0.6653372266932555,0.7003995628101987,0.6394505964799657,0.7605113636363637,0.7892795852046591,0.6145833333333334,0.7066905615292712,0.7559460607347631,0.5962094907407407,0.7406345388955693,0.9033579033579033,0.6637731481481483
