fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
0,densenet121,pretrained,gs0,blind,train,raw,1337,subject_level,1.0,1.0,0.9990503731356487,0.0060637968158290395,0.006241783324831347,0.9999986040044597,1.0,0.9990503731356487,0.9759430694168166,221,48620
0,densenet121,pretrained,gs0,blind,test,raw,1337,slice_level,0.9995552590615966,1.0,0.9956192670993496,0.0011060863885716224,0.0003978616319411828,0.8525626523304967,0.34384499847838823,0.9759301647158746,0.9535076480932917,305597,899400
0,densenet121,pretrained,gs0,blind,test,raw,1337,subject_level,1.0,1.0,0.9996001788548061,0.00742850729397365,0.019674620351621083,1.0,1.0,0.9996001788548061,0.9763404593334435,70,4830
1,densenet121,pretrained,gs0,adaptive,train,gs0,1337,slice_level,0.9659785301403798,0.9910817506193229,0.8650275431222703,0.013375615591258673,0.0019690804181175968,0.8747221483979909,0.3716050167978304,0.7727028124822765,0.681944349237457,172939,1211000
1,densenet121,pretrained,gs0,adaptive,train,gs0,1337,subject_level,1.0,1.0,0.9890616997334752,0.033902824734131136,0.021213781640641558,0.9999968357434421,1.0,0.9890616997334752,0.8706508957238808,221,48620
1,densenet121,pretrained,gs0,adaptive,test,gs0,1337,slice_level,0.9959303640063305,0.9997739091114628,0.8704434299857104,0.01031084391371632,0.0029947372613377448,0.8691265428677145,0.38769974684222513,0.7645056195167808,0.6768243357001819,298628,884600
1,densenet121,pretrained,gs0,adaptive,test,gs0,1337,subject_level,1.0,1.0,0.9949877398354666,0.04194713575499398,0.06293672067778451,0.9999999999999999,1.0,0.9949877398354666,0.880356659713986,70,4830
1,densenet121,pretrained,gs0,blind,train,raw,1337,slice_level,0.9912469033856317,0.9963666391412056,0.9910052615290924,0.003392780073214719,0.00039346207980709466,0.8485493950819993,0.3247850398117255,0.9607503448561165,0.9293223906336591,172939,1211000
1,densenet121,pretrained,gs0,blind,train,raw,1337,subject_level,1.0,1.0,0.9984792624663443,0.008897554011366486,0.007150870119958981,0.9999966496107033,1.0,0.9984792624663443,0.9653813794580127,221,48620
1,densenet121,pretrained,gs0,blind,test,raw,1337,slice_level,0.9995478182229256,0.9995478182229256,0.9920611273452704,0.0021269289099089357,0.0005628203927981894,0.8402538446981666,0.3156870755588893,0.9568291770721616,0.9257166049490815,298628,884600
1,densenet121,pretrained,gs0,blind,test,raw,1337,subject_level,1.0,1.0,0.9992499155657631,0.011856095279966082,0.022546528386218206,1.0,1.0,0.9992499155657631,0.9659976162648842,70,4830
2,densenet121,pretrained,gs0,adaptive,train,gs0,1337,slice_level,0.9559042113955408,0.9895953757225433,0.8690142983646062,0.012841603718544214,0.0019909740971385185,0.8712462019779837,0.37861641039282473,0.7761989122739912,0.68366606735248,172927,1211000
2,densenet121,pretrained,gs0,adaptive,train,gs0,1337,subject_level,0.9954954954954955,1.0,0.988842706422548,0.03371758289165325,0.021416885484647645,0.9999968783752567,1.0,0.9888374222828461,0.8687258598433303,222,49062
2,densenet121,pretrained,gs0,adaptive,test,gs0,1337,slice_level,0.9978833490122295,1.0,0.8800577341192529,0.009660192247504685,0.0029576328908707,0.878396386104231,0.36142257256519816,0.7813067496332273,0.6888907269414721,271480,850400
2,densenet121,pretrained,gs0,adaptive,test,gs0,1337,subject_level,1.0,1.0,0.995195954606153,0.041620075702667236,0.06395509752674379,1.0,1.0,0.995195954606153,0.8790790779358896,69,4692
2,densenet121,pretrained,gs0,blind,train,raw,1337,slice_level,0.987943848059455,0.9935590421139554,0.9912104486730058,0.0031532621501793455,0.000379648225592114,0.8386453550991005,0.31972450802939967,0.9620053359469742,0.9318721339190232,172927,1211000
2,densenet121,pretrained,gs0,blind,train,raw,1337,subject_level,0.9954954954954955,1.0,0.9984440247754793,0.008511681277472694,0.007001967758762541,0.999990176063308,1.0,0.9984390587957056,0.9664363683091312,222,49062
2,densenet121,pretrained,gs0,blind,test,raw,1337,slice_level,1.0,1.0,0.9941605585062157,0.0017112802612478735,0.0005359149472941846,0.8542931075796364,0.3332437011934581,0.9658086991789188,0.9340335295613599,271480,850400
2,densenet121,pretrained,gs0,blind,test,raw,1337,subject_level,1.0,1.0,0.9993771444196287,0.01068392439164977,0.022496680256681167,1.0,1.0,0.9993771444196287,0.967153733280207,69,4692
3,densenet121,pretrained,gs0,adaptive,train,gs0,1337,slice_level,0.9491413474240423,0.9924042272126816,0.9118404300438051,0.008421814494829039,0.0016826771958171336,0.9120190226910847,0.32836320218724224,0.8507884572703313,0.6935865137835564,173369,1211200
3,densenet121,pretrained,gs0,adaptive,train,gs0,1337,subject_level,1.0,1.0,0.9934943315682111,0.024154802163441975,0.024075049462283518,0.9999998163750151,1.0,0.9934943315682111,0.8080169359849011,222,49062
3,densenet121,pretrained,gs0,adaptive,test,gs0,1337,slice_level,0.9861641221374046,0.9966603053435115,0.908038888581609,0.007855014164597933,0.002250601442341132,0.8698989953112934,0.3287756088716988,0.8272589811576934,0.7271029022167159,264752,838400
3,densenet121,pretrained,gs0,adaptive,test,gs0,1337,subject_level,1.0,1.0,0.9963236105614814,0.032073094361070274,0.06113489825224531,1.0,1.0,0.9963236105614814,0.8747095124699169,69,4692
3,densenet121,pretrained,gs0,blind,train,raw,1337,slice_level,0.9933949801849405,0.9983487450462352,0.996215998398108,0.0013597225339755986,0.0002479999991419811,0.8625176064205813,0.34252951796457265,0.983876253406702,0.9685091035214193,173369,1211200
3,densenet121,pretrained,gs0,blind,train,raw,1337,subject_level,1.0,1.0,0.9994364327138608,0.00415750451990076,0.005631335077572379,0.999999173687568,1.0,0.9994364327138608,0.9835059837452631,222,49062
