fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,k_gallery,k_probe,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
1,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,slice_level,0.34285714285714286,0.42857142857142855,0.9909321265561241,0.0011687185083116803,0.012701836800468819,0.7333243197278911,0.12380952380952381,0.9546375663507553,0.8775447294988803,210,14000
1,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,subject_level,0.2857142857142857,0.45714285714285713,0.9915920870644706,0.002517580134528024,0.036678542303187504,0.792818692694469,0.18571428571428572,0.9700546060289655,0.8917101017991949,70,4830
1,resnet18,scratch,gs20,blind,train,raw,1337,3,1,slice_level,0.5972850678733032,0.6968325791855203,0.9989155067038212,0.0003346692922428183,0.0016204594498567654,0.7938034301781973,0.34992458521870284,0.9969069536994485,0.993812676476677,663,44200
1,resnet18,scratch,gs20,blind,train,raw,1337,3,1,subject_level,0.39819004524886875,0.5158371040723982,0.9988555848868185,0.00023085040744073791,0.004791014804610165,0.8526312189274659,0.4298642533936652,0.9979078961173873,0.9947943439360069,221,48620
1,resnet18,scratch,gs20,blind,test,raw,1337,3,1,slice_level,0.6714285714285714,0.7714285714285715,0.9988332654748644,0.00039348602294921877,0.005145461631140539,0.7838069727891157,0.38095238095238093,0.9967910897164117,0.9932802433925015,210,14000
1,resnet18,scratch,gs20,blind,test,raw,1337,3,1,subject_level,0.5,0.6571428571428571,0.9987138884408133,0.0004405932767050607,0.015192582218774727,0.8392191659272404,0.44285714285714284,0.9978379164423261,0.9943205140639042,70,4830
2,resnet18,scratch,gs20,adaptive,train,gs20,1337,3,1,slice_level,0.4369369369369369,0.6801801801801802,0.9810331155050982,0.0009612159149066822,0.0020184502160797515,0.8813001515028542,0.35285285285285284,0.9758868511911627,0.9587967056465578,666,44400
2,resnet18,scratch,gs20,adaptive,train,gs20,1337,3,1,subject_level,0.45495495495495497,0.6216216216216216,0.9857446261354395,0.0010035344072290369,0.005817577576365422,0.9249840980763079,0.46396396396396394,0.9838027564791946,0.9665680296834792,222,49062
2,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,slice_level,0.5072463768115942,0.7536231884057971,0.9803627150646155,0.000981466493744781,0.00621426159488982,0.8761315900021004,0.28019323671497587,0.9759165877881257,0.9613924882593362,207,13800
2,resnet18,scratch,gs20,adaptive,test,gs20,1337,3,1,subject_level,0.5362318840579711,0.7391304347826086,0.985350805780162,0.001053424849026445,0.0179563673834006,0.9218713320236727,0.4492753623188406,0.9837921970132468,0.9691431093881604,69,4692
2,resnet18,scratch,gs20,blind,train,raw,1337,3,1,slice_level,0.7432432432432432,0.8288288288288288,0.9973083197533548,0.000823273583575412,0.001603995317169507,0.8706118956794633,0.48348348348348347,0.9957293904758431,0.9926689991260971,666,44400
2,resnet18,scratch,gs20,blind,train,raw,1337,3,1,subject_level,0.6576576576576577,0.7702702702702703,0.9975131846762992,0.0006451158373205511,0.004728483793384454,0.9352468525759463,0.6756756756756757,0.9971689697321471,0.9940913864426789,222,49062
2,resnet18,scratch,gs20,blind,test,raw,1337,3,1,slice_level,0.782608695652174,0.9130434782608695,0.9971374662026115,0.0008293070654938186,0.005139231654828874,0.8809136735979837,0.47342995169082125,0.9957823661214488,0.9927477747029152,207,13800
2,resnet18,scratch,gs20,blind,test,raw,1337,3,1,subject_level,0.7536231884057971,0.8695652173913043,0.9974170508592025,0.0008229475090469139,0.015171088548242182,0.9328428283726848,0.6376811594202898,0.9971953967343206,0.9941555348249551,69,4692
3,resnet18,scratch,gs20,adaptive,train,gs20,1337,3,1,slice_level,0.5855855855855856,0.7432432432432432,0.9910966670727944,0.0013232373439513885,0.0035932813582287447,0.8768952060168276,0.13813813813813813,0.9849836392266614,0.8167224553428791,666,44400
3,resnet18,scratch,gs20,adaptive,train,gs20,1337,3,1,subject_level,0.4594594594594595,0.6576576576576577,0.9923063146101462,0.0012288807748674273,0.01036392193631613,0.9067974664159082,0.16216216216216217,0.9899457113162892,0.8197528454638165,222,49062
