arch,init,train_condition,attacker_type,eval_condition,eval_split,k_gallery,k_probe,n_subjects,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff
resnet18,scratch,gs30,blind,raw,train,1,1,3843,subject_level,0.05958886286755139,0.11891751236013531,0.9753350792624756,0.004476149597733771,0.0026110524332321424,0.8102135184470838,0.21441582097319803,0.8817105507931299,0.7621006577013062
resnet18,scratch,gs20,adaptive,gs20,train,1,1,3843,slice_level,0.04215456674473068,0.09549830861306272,0.967008464928254,0.005667105103854304,0.004345051623394239,0.8153063936315366,0.18319021597710122,0.8478376696018574,0.6934098404813039
resnet18,scratch,gs20,adaptive,gs20,train,1,1,3843,subject_level,0.04215456674473068,0.09549830861306272,0.9670085186081071,0.005667101877789742,0.0043450519487088736,0.8153513793306348,0.18371064272703616,0.847837717302634,0.6934019861115148
resnet18,scratch,gs20,blind,raw,train,1,1,3843,slice_level,0.05256310174342961,0.1082487639864689,0.9802311318571482,0.0034271062521645406,0.0018739470301548345,0.8034753102670393,0.1930783242258652,0.9064274003596905,0.8078526957355965
resnet18,scratch,gs20,blind,raw,train,1,1,3843,subject_level,0.05256310174342961,0.1082487639864689,0.9802311882822581,0.0034271092921099935,0.0018739472587899222,0.8034805732738315,0.19099661722612543,0.9064274517750944,0.8077745242044543
resnet18,scratch,gs10,adaptive,gs10,train,1,1,3843,slice_level,0.04996096799375488,0.11007025761124122,0.9580884887128022,0.00700158634565474,0.005593511751514135,0.834863645279944,0.23341139734582358,0.825545294890328,0.6608206989224336
resnet18,scratch,gs10,adaptive,gs10,train,1,1,3843,subject_level,0.04996096799375488,0.11007025761124122,0.9580885417567483,0.00700158494976142,0.005593512216387809,0.8346149155552411,0.23237054384595368,0.8255453408307282,0.6609561031258978
resnet18,scratch,gs10,blind,raw,train,1,1,3843,slice_level,0.04137392661982826,0.07910486599011189,0.9928220828281167,0.0010976622478744186,0.0006346322508133083,0.7133657083325633,0.14181628935727297,0.9528929541392033,0.9231909883058369
resnet18,scratch,gs10,blind,raw,train,1,1,3843,subject_level,0.04137392661982826,0.07910486599011189,0.9928221413780866,0.00109766227889427,0.0006346322961086531,0.713446481394473,0.14311735623211033,0.9528930100524857,0.9231495229912834
resnet18,scratch,gs0,adaptive,gs0,train,1,1,3843,slice_level,0.03460837887067395,0.08873276086390841,0.9693149302640434,0.005974943412023381,0.006326980483192333,0.8244293977059107,0.19359875097580015,0.8190411868549529,0.6174560678666136
resnet18,scratch,gs0,adaptive,gs0,train,1,1,3843,subject_level,0.03460837887067395,0.08873276086390841,0.9693149863789549,0.005974944606287666,0.006326981264474551,0.8244968237108216,0.19151704397606037,0.8190412342067562,0.6173447939875711
resnet18,scratch,gs0,blind,raw,train,1,1,3843,slice_level,0.03747072599531616,0.08404892011449389,0.9747897133118716,0.004819668009353745,0.003917021817426412,0.7868042107304466,0.15690866510538642,0.8442541243134766,0.7009379858585841
resnet18,scratch,gs0,blind,raw,train,1,1,3843,subject_level,0.03747072599531616,0.08404892011449389,0.9747897690700548,0.004819667311407085,0.00391702208473029,0.7865359721799875,0.15820973198022378,0.8442541730534183,0.7012302136927835
densenet121,pretrained,raw,adaptive,raw,train,1,1,3843,slice_level,0.20634920634920634,0.3044496487119438,0.83381351753352,0.013020284809298172,0.003694306094950196,0.8792216229460121,0.4129586260733802,0.7596775944146705,0.6314920458518649
densenet121,pretrained,raw,adaptive,raw,train,1,1,3843,subject_level,0.20634920634920634,0.3044496487119438,0.8338135654281708,0.013020285801933422,0.003694306477033583,0.8793404704790533,0.4129586260733802,0.7596776385791842,0.6315242310116882
densenet121,pretrained,gs50,adaptive,gs50,train,1,1,3843,slice_level,0.013010668748373666,0.04111371324486079,0.905300236588929,0.006153274382770666,0.0032695037607070143,0.7834166441019758,0.13088732760863908,0.7854304773684067,0.6899945720705303
densenet121,pretrained,gs50,adaptive,gs50,train,1,1,3843,subject_level,0.013010668748373666,0.04111371324486079,0.9053002883300414,0.006153273545234674,0.0032695041042882216,0.783477556613337,0.13114754098360656,0.7854305225022907,0.6900536673544069
densenet121,pretrained,gs50,blind,raw,train,1,1,3843,slice_level,0.08014571948998178,0.14077543585740307,0.9667597467657988,0.0028500122202581146,0.0007517643046680224,0.7469279205904343,0.21623731459797033,0.9220664120421508,0.8849465472576303
densenet121,pretrained,gs50,blind,raw,train,1,1,3843,subject_level,0.08014571948998178,0.14077543585740307,0.9667598256027515,0.002850015074084458,0.0007517643847622486,0.7469900779008288,0.21337496747332813,0.9220664850008417,0.884913532392854
densenet121,pretrained,gs40,adaptive,gs40,train,1,1,3843,slice_level,0.0195160031225605,0.06115014311735623,0.9004335308676736,0.006784920452970594,0.003385138442735482,0.7980618437068956,0.16341399947957325,0.7818588018339809,0.6801121285272752
densenet121,pretrained,gs40,adaptive,gs40,train,1,1,3843,subject_level,0.0195160031225605,0.06115014311735623,0.900433584718136,0.006784920546030148,0.0033851388329070526,0.7978953383616878,0.16315378610460576,0.7818588501939294,0.6800440031390559
densenet121,pretrained,gs40,blind,raw,train,1,1,3843,slice_level,0.037991152745251104,0.07468123861566485,0.9877244862081977,0.001271204885765193,0.0005851060713697933,0.6634282575542285,0.12230028623471247,0.9470476702790133,0.9243752080806215
densenet121,pretrained,gs40,blind,raw,train,1,1,3843,subject_level,0.037991152745251104,0.07468123861566485,0.9877245550877782,0.0012712052580034115,0.000585106103169685,0.6637055803817938,0.12151964610981004,0.9470477355602909,0.9243417947268443
