model,init,train_condition,eval_condition,attacker_type,fold_id,subject_auc,subject_acc,subject_bacc,sensitivity,specificity,msp_correct_mean,msp_wrong_mean,nll_correct_mean,nll_wrong_mean,nllpct_correct_mean,nllpct_wrong_mean,n_train_subjects,n_val_subjects,n_train_slices,n_val_slices,lr,weight_decay,patience,num_epochs_max,epochs_trained,best_val_auc,best_val_loss,seed,timestamp,ckpt_path
resnet18,pretrained,gs40,gs40,adaptive,1,0.8765652951699463,0.8035714285714286,0.7915921288014311,0.7692307692307693,0.813953488372093,0.78399154871706,0.6557650015014497,0.26062982931650625,1.1308132767699495,78.39915487170599,34.423499849855034,221,56,12000,7626,5e-05,0.0001,7,50,2,0.8765652951699463,0.5712782209118207,1337,2026-01-17 08:35:48,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs40/fold_1.pt
resnet18,pretrained,gs40,raw,blind,1,0.7280858676207513,0.23214285714285715,0.5,1.0,0.0,0.9815284825362286,0.9765475696885725,0.018685724415384155,3.8094019771511167,98.1528482536228,2.345243031142742,221,56,12000,7626,5e-05,0.0001,7,50,,,,1337,2026-01-17 08:35:53,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs40/fold_1.pt
densenet121,pretrained,gs40,gs40,adaptive,1,0.8622540250447227,0.7857142857142857,0.6189624329159213,0.3076923076923077,0.9302325581395349,0.809034139945163,0.64724241170196,0.22602139659164822,1.0718591689127133,80.9034139945163,35.275758829804,221,56,12000,7626,5e-05,0.0001,7,50,8,0.8622540250447227,0.5597712203860283,1337,2026-01-17 08:46:43,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs40/fold_1.pt
densenet121,pretrained,gs40,raw,blind,1,0.6636851520572451,0.7678571428571429,0.5,0.0,1.0,0.9952566781060775,0.9945752131723782,0.0047576352695605185,5.258018460923732,99.52566781060777,0.5424786827621737,221,56,12000,7626,5e-05,0.0001,7,50,,,,1337,2026-01-17 08:46:56,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs40/fold_1.pt
resnet18,pretrained,gs50,gs50,adaptive,1,0.8711985688729874,0.7857142857142857,0.6457960644007156,0.38461538461538464,0.9069767441860465,0.8321699827667639,0.6337884509070996,0.1988177696855094,1.0532769482893598,83.2169982766764,36.621154909290034,221,56,12000,7626,5e-05,0.0001,7,50,3,0.8711985688729874,0.551800386607647,1337,2026-01-17 08:57:41,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs50/fold_1.pt
resnet18,pretrained,gs50,raw,blind,1,0.4919499105545617,0.3392857142857143,0.5161001788908766,0.8461538461538461,0.18604651162790697,0.5878834574107539,0.6335637191203888,0.5385971250133328,1.0316295944236145,58.788345741075375,36.64362808796114,221,56,12000,7626,5e-05,0.0001,7,50,,,,1337,2026-01-17 08:57:45,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs50/fold_1.pt
densenet121,pretrained,gs50,gs50,adaptive,1,0.8694096601073344,0.8035714285714286,0.8184257602862254,0.8461538461538461,0.7906976744186046,0.6960641397936941,0.5996192350595796,0.37583341057957564,0.9456376009882255,69.6064139793694,40.03807649404203,221,56,12000,7626,5e-05,0.0001,7,50,1,0.8694096601073344,0.5270854915181796,1337,2026-01-17 09:03:38,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs50/fold_1.pt
densenet121,pretrained,gs50,raw,blind,1,0.5438282647584973,0.26785714285714285,0.5232558139534884,1.0,0.046511627906976744,0.7342740305569222,0.7471375853749451,0.32049752795609904,1.4839749270728038,73.42740305569222,25.286241462505487,221,56,12000,7626,5e-05,0.0001,7,50,,,,1337,2026-01-17 09:03:51,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs50/fold_1.pt
resnet18,pretrained,raw,raw,adaptive,2,0.9131313131313132,0.875,0.8878787878787879,0.9090909090909091,0.8666666666666667,0.8350830106206588,0.7639443118020767,0.19435422956429527,2.6815175978032255,83.50830106206587,23.605568819792335,222,56,12000,7347,5e-05,0.0001,7,50,3,0.9131313131313132,0.6363057052267009,1337,2026-01-17 09:06:59,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/raw/fold_2.pt
densenet121,pretrained,raw,raw,adaptive,2,0.9030303030303031,0.8571428571428571,0.7737373737373737,0.6363636363636364,0.9111111111111111,0.8202580916199801,0.7026797770322251,0.21483584272808662,1.4793339008465698,82.02580916199803,29.732022296777497,222,56,12000,7347,5e-05,0.0001,7,50,1,0.9030303030303031,0.43874333182285574,1337,2026-01-17 09:12:48,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/raw/fold_2.pt
